id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
881,고기산적김밥,488kcal,16.00g,66.00g,20.00g,488 ,20,16,
882,동의훈제란,54kcal,3.30g,0.40g,5.50g,54 ,5,3,
883,달고나 라떼,190kcal,3.60g,35.00g,4.60g,190 ,4,3,
884,커스타드 크림&단팥 호빵,340kcal,10.00g,56.00g,7.00g,340 ,7,10,
885,보쌈겹살,438kcal,30.00g,1.00g,41.00g,438 ,41,30,
886,가츠산도,503kcal,27.00g,47.00g,18.00g,503 ,18,27,
887,돼지불백 김밥,312kcal,4.40g,58.00g,10.00g,312 ,10,4,
888,오란다스낵,764kcal,24.00g,122.00g,15.00g,764 ,15,24,
889,치킨 마크니커리,554kcal,14.00g,85.00g,22.00g,554 ,22,14,
890,로투스 비스코프 생크림케익,575kcal,30.00g,70.00g,6.00g,575 ,6,30,
891,탄단지 그릴닭가슴살볼,263kcal,7.00g,31.00g,19.00g,263 ,19,7,
892,매콤짭짤 뉴리치 소고기전주,179kcal,3.00g,34.00g,4.00g,179 ,4,3,
893,매콤불고기김밥,368kcal,8.00g,60.00g,14.00g,368 ,14,8,
894,티라미수 크림모찌,185kcal,1.50g,40.00g,3.00g,185 ,3,1,
895,딸기샌드위치,362kcal,14.00g,51.00g,8.00g,362 ,8,14,
896,닭가슴살마요 삼각김밥,171kcal,3.00g,32.00g,4.00g,171 ,4,3,
897,리얼너츠,118kcal,9.70g,6.20g,3.30g,118 ,3,9,
898,NEW 참치마요네즈 삼각김밥,200kcal,5.00g,35.00g,4.00g,200 ,4,5,
899,쫀득롤케익 메론,416kcal,24.00g,42.00g,8.00g,416 ,8,24,
900,딸기크림빵,302kcal,10.00g,47.00g,6.00g,302 ,6,10,
901,고기애 진심정식,603kcal,15.00g,93.00g,24.00g,603 ,24,15,
902,어른우유,196kcal,8.00g,26.00g,5.00g,196 ,5,8,
903,오늘은 햄에그롤,185kcal,10.00g,9.00g,15.00g,185 ,15,10,
904,생크림 초콜릿 쿠키슈,319kcal,21.00g,28.00g,4.00g,319 ,4,21,
905,매실 고추장 불고기 삼각김밥,273kcal,4.50g,49.00g,9.00g,273 ,9,4,
906,잇츠빅 소시지핫도그 핫케이준,469kcal,25.00g,48.00g,13.00g,469 ,13,25,
907,쫀득한 딸기 마카롱,335kcal,15.00g,46.00g,4.00g,335 ,4,15,
908,고깃집볶음밥,198kcal,6.00g,28.00g,8.00g,198 ,8,6,
909,한우불고기김밥,370kcal,14.00g,47.00g,14.00g,370 ,14,14,
910,플로리다 오렌지주스,155kcal,0.90g,34.00g,3.00g,155 ,3,0,
911,땡참마요 삼각김밥,296kcal,8.00g,50.00g,6.00g,296 ,6,8,
912,콰트로타워버거,534kcal,26.00g,57.00g,18.00g,534 ,18,26,
913,참치마요네즈삼각김밥,186kcal,4.70g,31.00g,5.00g,186 ,5,4,
914,오리&불고기 정식,747kcal,23.00g,96.00g,39.00g,747 ,39,23,
915,야땡 숯불 돼지바비큐,335kcal,13.00g,26.00g,28.00g,335 ,28,13,
916,흑당밀크티,155kcal,3.00g,31.00g,1.00g,155 ,1,3,
917,직화불고기 삼각김밥,184kcal,3.50g,32.00g,6.00g,184 ,6,3,
918,참치김치볶음밥,174kcal,3.80g,30.00g,5.00g,174 ,5,3,
