id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
293,오븐에구운 레몬케이크,204kcal,12.00g,20.00g,4.00g,204 ,204 ,204 ,1
294,에그&돈가츠샌드,490kcal,26.00g,48.00g,15.00g,490 ,490 ,490 ,1
295,빈스낵,115kcal,2.10g,21.00g,3.00g,115 ,115 ,115 ,1
296,바싹불고기&고추장불고기 삼각김밥,366kcal,3.90g,71.00g,11.00g,366 ,366 ,366 ,1
297,비프킹샌드위치,237kcal,7.00g,31.00g,13.00g,237 ,237 ,237 ,1
298,혜자 도시락,485kcal,8.50g,76.00g,24.00g,485 ,485 ,485 ,1
299,치킨시져샐러드,205kcal,12.00g,16.00g,9.00g,205 ,205 ,205 ,1
300,점보4단샌드 햄참치,348kcal,8.00g,61.00g,8.00g,348 ,348 ,348 ,1
301,주먹왕 참치마요,449kcal,13.00g,71.00g,12.00g,449 ,449 ,449 ,1
302,연세우유 초코생크림빵,423kcal,19.00g,55.00g,8.00g,423 ,423 ,423 ,1
303,자이언트 떡볶이,513kcal,4.10g,103.00g,16.00g,513 ,513 ,513 ,1
304,카라멜러스크,518kcal,18.00g,79.00g,10.00g,518 ,518 ,518 ,1
305,불고기 유부초밥,471kcal,7.00g,80.00g,22.00g,471 ,471 ,471 ,1
306,2XL 불고기전주,244kcal,4.00g,44.00g,8.00g,244 ,244 ,244 ,1
307,닭볶음덮밥,628kcal,8.00g,121.00g,18.00g,628 ,628 ,628 ,1
308,토핑 유부초밥,442kcal,14.00g,67.00g,12.00g,442 ,442 ,442 ,1
309,대만식 연유샌드위치,395kcal,19.00g,44.00g,12.00g,395 ,395 ,395 ,1
310,1974 저지방우유,85kcal,2.60g,10.00g,6.00g,85 ,85 ,85 ,1
311,미니초코프레첼,287kcal,11.00g,41.00g,6.00g,287 ,287 ,287 ,1
312,햄버터샌드위치,439kcal,31.00g,30.00g,10.00g,439 ,439 ,439 ,
313,숯불갈비맛 삼각김밥,195kcal,3.20g,33.00g,9.00g,195 ,195 ,195 ,
314,유부박고지김밥,313kcal,5.00g,56.00g,10.00g,313 ,313 ,313 ,
315,뉴치즈 스팸 김밥,363kcal,10.00g,58.00g,10.00g,363 ,363 ,363 ,
316,리코타 봉봉 샐러드,170kcal,9.00g,18.00g,4.00g,170 ,170 ,170 ,
317,엄마의맘 제육볶음 도시락,771kcal,29.00g,93.00g,35.00g,771 ,771 ,771 ,
318,크랜베리 단호박 샐러드,215kcal,12.00g,25.00g,2.00g,215 ,215 ,215 ,
319,미니 갈릭러스크,312kcal,4.00g,59.00g,10.00g,312 ,312 ,312 ,
320,깍두기 볶음밥,249kcal,3.70g,48.00g,6.00g,249 ,249 ,249 ,
321,핫바득템,269kcal,21.00g,4.00g,16.00g,269 ,269 ,269 ,
322,훈제메추리알,40kcal,2.50g,2.00g,2.00g,40 ,40 ,40 ,
323,주먹왕 참치마요&김치볶음밥,411kcal,11.00g,64.00g,14.00g,411 ,411 ,411 ,
324,추억의 강냉이,480kcal,0.00g,108.00g,8.00g,480 ,480 ,480 ,
325,구운계란득템,60kcal,3.40g,1.00g,6.00g,60 ,60 ,60 ,
326,참치마요&햄김치볶음 삼각김밥,346kcal,6.00g,65.00g,8.00g,346 ,346 ,346 ,
327,오거트 쫀득한 마카롱,461kcal,22.00g,62.00g,5.00g,461 ,461 ,461 ,
328,콘소메맛팝콘,370kcal,18.00g,46.00g,6.00g,370 ,370 ,370 ,
329,두툼한 등심돈가스,732kcal,28.00g,95.00g,25.00g,732 ,732 ,732 ,
330,오븐에 구운 바나나 파운드,228kcal,12.00g,28.20g,3.00g,228 ,228 ,228 ,
331,허니뻥이요,570kcal,22.00g,88.00g,6.00g,570 ,570 ,570 ,
332,춘천닭갈비김밥,332kcal,6.20g,58.00g,11.00g,332 ,332 ,332 ,
333,더큰 치즈 닭갈비 볶음밥,250kcal,4.00g,48.00g,6.00g,250 ,250 ,250 ,
334,플레인 요거트,70kcal,3.80g,5.80g,3.20g,70 ,70 ,70 ,
335,빅4샌드위치,497kcal,26.00g,48.00g,18.00g,497 ,497 ,497 ,
336,치킨 로메인 샌드위치,278kcal,9.00g,33.00g,17.00g,278 ,278 ,278 ,
337,돌아온 김치찌개 도시락,592kcal,11.00g,96.00g,27.00g,592 ,592 ,592 ,
338,파삭 튀김 떡볶이,617kcal,5.30g,132.00g,9.00g,617 ,617 ,617 ,
339,치킨텐더 샐러드박스,393kcal,18.00g,40.00g,18.00g,393 ,393 ,393 ,
340,확실한 제육김밥,405kcal,9.00g,63.00g,18.00g,405 ,405 ,405 ,
341,오리지널 버터 팝콘,355kcal,21.00g,36.00g,5.00g,355 ,355 ,355 ,
342,비빔참치마요 삼각김밥,178kcal,3.30g,33.00g,4.00g,178 ,178 ,178 ,
343,사과잼 모닝샌드,290kcal,10.00g,36.00g,14.00g,290 ,290 ,290 ,
344,커피우유,285kcal,4.00g,16.00g,3.60g,285 ,285 ,285 ,
345,소고기전주비빔,277kcal,5.00g,52.00g,6.00g,277 ,277 ,277 ,
346,리챔정식,748kcal,24.00g,108.00g,25.00g,748 ,748 ,748 ,
347,확!실한 참치김밥,404kcal,12.00g,54.00g,20.00g,404 ,404 ,404 ,
348,자이언트 라볶이,690kcal,3.30g,149.00g,17.00g,690 ,690 ,690 ,
349,크림 가득 빅슈,355kcal,22.00g,30.00g,9.00g,355 ,355 ,355 ,
350,엄마의 제육볶음 도시락,771kcal,29.00g,93.00g,35.00g,771 ,771 ,771 ,
351,꽉 담은 나폴리탄 스파게티,474kcal,26.00g,45.00g,15.00g,474 ,474 ,474 ,
352,치즈맛 라면스낵,196kcal,8.20g,27.30g,3.30g,196 ,196 ,196 ,
353,New 치즈브레드,536kcal,29.00g,56.00g,13.00g,536 ,536 ,536 ,
354,베리앤리코타 미니샐러드,176kcal,8.00g,20.00g,6.00g,176 ,176 ,176 ,
355,스윗콘 참치마요 삼각김밥,265kcal,5.00g,47.00g,7.00g,265 ,265 ,265 ,
356,대왕돈까스스파게티,1387kcal,35.00g,220.00g,48.00g,1387 ,1387 ,1387 ,
357,치킨살사샌드위치,298kcal,14.00g,28.00g,15.00g,298 ,298 ,298 ,
358,고래사어묵김밥,303kcal,3.40g,60.00g,9.00g,303 ,303 ,303 ,
359,타트체리 에이드,95kcal,0.00g,23.00g,0.00g,95 ,95 ,95 ,
360,햄샌드위치,305kcal,13.00g,38.00g,9.00g,305 ,305 ,305 ,
361,핫바득템 치즈,266kcal,22.00g,3.00g,14.00g,266 ,266 ,266 ,
362,매콤고등어정식,554kcal,14.00g,80.00g,27.00g,554 ,554 ,554 ,
363,3XL소고기전주비빔,277kcal,5.00g,52.00g,6.00g,277 ,277 ,277 ,
364,스팸김치김밥,340kcal,8.00g,57.00g,10.00g,340 ,340 ,340 ,
365,간장불고기,573kcal,17.00g,85.00g,20.00g,573 ,573 ,573 ,
366,믹스너트,247kcal,19.00g,10.00g,9.00g,247 ,247 ,247 ,
367,청양고추라면,430kcal,15.00g,66.00g,8.00g,430 ,430 ,430 ,
368,계란참치마요(CU),402kcal,10.00g,60.00g,18.00g,402 ,402 ,402 ,
369,레몬아이스티,130kcal,0.00g,33.00g,0.00g,130 ,130 ,130 ,
370,통민물장어구이덮밥,541kcal,17.00g,76.00g,21.00g,541 ,541 ,541 ,
371,초코렛타 골드,420kcal,21.00g,52.00g,5.00g,420 ,420 ,420 ,
372,비빔참치,181kcal,4.60g,29.00g,6.00g,181 ,181 ,181 ,
373,불고기계란 샐러드박스,447kcal,18.00g,45.00g,25.00g,447 ,447 ,447 ,
374,자몽에이드,65kcal,0.00g,16.00g,0.00g,65 ,65 ,65 ,
375,딸기샌드위치,300kcal,12.00g,43.00g,5.00g,300 ,300 ,300 ,
376,치즈닭갈비 김밥,341kcal,13.00g,46.00g,10.00g,341 ,341 ,341 ,
377,광장김밥,450kcal,13.00g,74.00g,10.00g,450 ,450 ,450 ,
378,함박&치킨 도시락,750kcal,26.00g,103.00g,26.00g,750 ,750 ,750 ,
379,관자살밥,200kcal,4.00g,36.00g,5.00g,200 ,200 ,200 ,
380,우유팥빙수,423kcal,5.00g,87.00g,7.00g,423 ,423 ,423 ,
381,크래미샌드위치,374kcal,18.00g,40.00g,13.00g,374 ,374 ,374 ,
382,생크림 가득 단팥빵,324kcal,8.00g,56.00g,7.00g,324 ,324 ,324 ,
383,땅콩샌드,373kcal,17.00g,48.00g,7.00g,373 ,373 ,373 ,
384,통통하게,75kcal,0.00g,10.00g,9.00g,75 ,75 ,75 ,
385,백종원의 매콤불고기 김밥,314kcal,6.00g,52.00g,13.00g,314 ,314 ,314 ,
386,콘소메맛 팝콘,270kcal,12.00g,39.00g,6.00g,270 ,270 ,270 ,
387,매콤한 콩불,853kcal,33.00g,112.00g,27.00g,853 ,853 ,853 ,
388,바지락칼국수,280kcal,1.40g,58.00g,9.00g,280 ,280 ,280 ,
389,제육불고기김밥,376kcal,8.00g,60.00g,16.00g,376 ,376 ,376 ,
390,1974 저지방 우유,45kcal,1.50g,5.00g,3.00g,45 ,45 ,45 ,
391,뉴참치햄샐러드김밥,370kcal,13.00g,53.00g,11.00g,370 ,370 ,370 ,
392,쫄깃한 명품 편육,710kcal,55.00g,12.00g,42.00g,710 ,710 ,710 ,
393,순우유케이크,205kcal,15.00g,15.00g,2.00g,205 ,205 ,205 ,
394,촉촉꿀고구마스틱,215kcal,0.00g,52.00g,1.00g,215 ,215 ,215 ,
395,순백딸기 미니케익,390kcal,22.00g,42.00g,6.00g,390 ,390 ,390 ,
396,더큰소불고기삼각김밥,245kcal,5.00g,44.00g,6.00g,245 ,245 ,245 ,
397,에그사라다 샌드위치,257kcal,17.00g,22.00g,4.00g,257 ,257 ,257 ,
398,참치쌈김밥,318kcal,8.00g,50.00g,11.00g,318 ,318 ,318 ,
399,뭉개뭉계란 단호박샐러드,265kcal,19.00g,15.00g,9.00g,265 ,265 ,265 ,
400,마늘보쌈 도시락,595kcal,19.00g,78.00g,28.00g,595 ,595 ,595 ,
401,모두의급식 간장불고기,720kcal,24.00g,92.00g,34.00g,720 ,720 ,720 ,
402,핫바득템 매콤,240kcal,20.00g,1.00g,14.00g,240 ,240 ,240 ,
403,신제육볶음김밥,445kcal,13.00g,61.00g,21.00g,445 ,445 ,445 ,
404,퀴노아바질미니샐러드,111kcal,2.10g,16.00g,7.00g,111 ,111 ,111 ,
405,고기만두 호빵,330kcal,12.00g,43.00g,13.00g,330 ,330 ,330 ,
406,백종원 매콤불고기반상,711kcal,23.00g,93.00g,33.00g,711 ,711 ,711 ,
407,바나나우유,390kcal,13.00g,57.00g,11.00g,390 ,390 ,390 ,
408,뉴리치소고기전주,179kcal,3.00g,34.00g,4.00g,179 ,179 ,179 ,
409,몬테크리스토 토스트,441kcal,21.00g,53.00g,10.00g,441 ,441 ,441 ,
410,치즈함박스테이크버거,491kcal,23.00g,52.00g,19.00g,491 ,491 ,491 ,
411,제주 청귤 아이스바,75kcal,0.00g,19.00g,0.00g,75 ,75 ,75 ,
412,반반치킨도시락,819kcal,26.00g,118.00g,28.00g,819 ,819 ,819 ,
413,스팸계란김치볶음밥,207kcal,6.00g,33.00g,6.00g,207 ,207 ,207 ,
414,바싹불고기 도시락,655kcal,18.00g,95.00g,27.00g,655 ,655 ,655 ,
415,따블버거,712kcal,32.00g,76.00g,30.00g,712 ,712 ,712 ,
416,에그&참치마요 샌드위치,233kcal,9.00g,27.00g,11.00g,233 ,233 ,233 ,
417,강릉초당두부 떠먹는 케이크,216kcal,8.00g,26.00g,10.00g,216 ,216 ,216 ,
418,진심 마카롱,364kcal,24.00g,32.00g,5.00g,364 ,364 ,364 ,
419,김치제육김밥,339kcal,8.00g,58.00g,10.00g,339 ,339 ,339 ,
420,꽃카라멜쿠키슈,360kcal,20.00g,40.00g,5.00g,360 ,360 ,360 ,
421,통리챔 참치마요 밥바,281kcal,9.00g,41.00g,9.00g,281 ,281 ,281 ,
422,자이언트 닭가슴살 블랙페퍼,100kcal,0.80g,3.00g,21.00g,100 ,100 ,100 ,
423,갈릭버터 오징어,120kcal,2.90g,9.00g,15.00g,120 ,120 ,120 ,
424,떡갈비김밥,418kcal,14.00g,56.00g,17.00g,418 ,418 ,418 ,
425,스팸마요김치볶음,203kcal,7.00g,31.00g,4.00g,203 ,203 ,203 ,
426,고구마빵,236kcal,8.00g,34.00g,7.00g,236 ,236 ,236 ,
427,에그고소햄 샌드위치,400kcal,20.00g,47.00g,8.00g,400 ,400 ,400 ,
428,백종원 떡갈비 불고기,361kcal,6.80g,65.00g,10.00g,361 ,361 ,361 ,
429,제육삼각김밥,182kcal,2.40g,35.00g,5.00g,182 ,182 ,182 ,
430,부대소시지 김밥,391kcal,13.00g,55.00g,15.00g,391 ,391 ,391 ,
431,함박&계란볶음밥,570kcal,24.00g,70.00g,20.00g,570 ,570 ,570 ,
432,트러플리조또김밥,342kcal,12.00g,43.00g,16.00g,342 ,342 ,342 ,
433,마늘치킨&깐풍치킨 도시락,713kcal,24.00g,92.00g,32.00g,713 ,713 ,713 ,
434,크랜베리 치킨 샌드위치,368kcal,16.00g,43.00g,13.00g,368 ,368 ,368 ,
435,제육김치삼각김밥,195kcal,2.90g,37.00g,6.00g,195 ,195 ,195 ,
436,국산콩두부,85kcal,6.00g,1.00g,7.00g,85 ,85 ,85 ,
437,할리스 민트초코,275kcal,6.50g,48.00g,5.50g,275 ,275 ,275 ,
438,한상 가득,735kcal,27.00g,90.00g,28.00g,735 ,735 ,735 ,
439,더큰 아보카도 명란마요 삼각김밥,269kcal,4.50g,51.00g,6.00g,269 ,269 ,269 ,
440,생강꿀차,140kcal,0.00g,35.00g,0.00g,140 ,140 ,140 ,
441,에그가 먼저닭 미니샐러드,156kcal,12.00g,5.00g,7.00g,156 ,156 ,156 ,
442,구운달걀 카레덮밥,675kcal,27.00g,86.00g,22.00g,675 ,675 ,675 ,
443,고기듬뿍 제주돈불고기,508kcal,8.00g,79.00g,30.00g,508 ,508 ,508 ,
444,너비아니 정식,777kcal,33.00g,87.00g,33.00g,777 ,777 ,777 ,
445,초코크로와상,370kcal,18.00g,45.00g,8.00g,370 ,370 ,370 ,
446,참치마요김밥,377kcal,13.00g,52.00g,13.00g,377 ,377 ,377 ,
447,카페라떼,190kcal,7.00g,25.00g,6.00g,190 ,190 ,190 ,
448,로제 닭갈비,247kcal,3.00g,47.00g,8.00g,247 ,247 ,247 ,
449,이건가요 샌드위치 치즈맛살,442kcal,18.00g,61.00g,9.00g,442 ,442 ,442 ,
450,초코 포레누아,255kcal,14.00g,30.00g,2.00g,255 ,255 ,255 ,
451,삼겹구이컵밥,441kcal,17.00g,58.00g,14.00g,441 ,441 ,441 ,
452,더큰청양참치마요,275kcal,11.00g,37.00g,7.00g,275 ,275 ,275 ,
453,BELT 포테이토 샌드위치,361kcal,21.00g,31.00g,12.00g,361 ,361 ,361 ,
454,페퍼로니 모짜치즈 버거,454kcal,19.00g,50.00g,21.00g,454 ,454 ,454 ,
455,트러플 리조또 김밥,342kcal,12.00g,43.00g,16.00g,342 ,342 ,342 ,
456,계란듬뿍김밥,352kcal,7.00g,59.00g,14.00g,352 ,352 ,352 ,
457,치즈퐁듀,365kcal,26.00g,29.00g,3.00g,365 ,365 ,365 ,
458,갈릭치킨마요 삼각김밥,220kcal,6.00g,35.00g,7.00g,220 ,220 ,220 ,
459,참치마요 전주비빔 반반김밥,358kcal,9.00g,58.00g,12.00g,358 ,358 ,358 ,
460,백종원 매콤 불고기 정식,742kcal,26.00g,96.00g,31.00g,742 ,742 ,742 ,
461,베트남식 반미 샌드위치,262kcal,6.00g,37.00g,15.00g,262 ,262 ,262 ,
462,직화 고추장삼겹,717kcal,25.00g,85.00g,38.00g,717 ,717 ,717 ,
463,백종원 더블 닭갈비,356kcal,8.00g,58.00g,13.00g,356 ,356 ,356 ,
464,돼지불백정식,882kcal,34.00g,108.00g,36.00g,882 ,882 ,882 ,
465,봄나물 비빔밥 (353g),533kcal,9.00g,99.00g,14.00g,533 ,533 ,533 ,
466,카라멜 팝콘,375kcal,18.00g,52.00g,1.00g,375 ,375 ,375 ,
467,모두의급식 김치삼겹,788kcal,32.00g,96.00g,29.00g,788 ,788 ,788 ,
468,연어왕 유부초밥,450kcal,10.00g,76.00g,14.00g,450 ,450 ,450 ,
469,에그마니샌드위치,442kcal,18.00g,52.00g,18.00g,442 ,442 ,442 ,
470,악마빙수,166kcal,7.00g,22.00g,3.00g,166 ,166 ,166 ,
471,더블에그&핫튜나 샌드위치,385kcal,21.00g,38.00g,11.00g,385 ,385 ,385 ,
472,모찌롤딸기,371kcal,23.00g,36.00g,5.00g,371 ,371 ,371 ,
473,치킨아몬드프로틴볼샐러드,182kcal,6.00g,13.00g,19.00g,182 ,182 ,182 ,
474,엄마의 맘,702kcal,26.00g,94.00g,24.00g,702 ,702 ,702 ,
475,더큰참치마요네즈,360kcal,20.00g,36.00g,9.00g,360 ,360 ,360 ,
476,에그퐁당토스트,419kcal,17.00g,53.00g,14.00g,419 ,419 ,419 ,
477,수퍼롱207후랑크,270kcal,18.00g,11.00g,16.00g,270 ,270 ,270 ,
478,더고소한 계란듬뿍 샌드위치,366kcal,25.00g,25.00g,11.00g,366 ,366 ,366 ,
479,뉴 돈까스 샌드,505kcal,25.00g,53.00g,17.00g,505 ,505 ,505 ,
480,백종원 더블 닭갈비 정식,604kcal,16.00g,89.00g,26.00g,604 ,604 ,604 ,
481,헤이즐넛향,65kcal,0.00g,16.00g,1.00g,65 ,65 ,65 ,
482,청포도에이드,80kcal,0.00g,20.00g,0.00g,80 ,80 ,80 ,
483,듬뿍 우렁된장 정식,600kcal,12.00g,103.00g,20.00g,600 ,600 ,600 ,
484,매운 불껍데기,255kcal,10.00g,19.00g,21.00g,255 ,255 ,255 ,
485,고등어,160kcal,15.00g,3.00g,16.00g,160 ,160 ,160 ,
486,한우불고기반상,589kcal,9.00g,96.00g,31.00g,589 ,589 ,589 ,
487,쫀득롤케익 초코,436kcal,21.00g,53.00g,8.00g,436 ,436 ,436 ,
488,New 오리지날 치킨버거,405kcal,13.00g,48.00g,24.00g,405 ,405 ,405 ,
489,벌교 꼬막 비빔밥,426kcal,6.00g,80.00g,13.00g,426 ,426 ,426 ,
490,불닭볶음밥,222kcal,5.00g,37.00g,7.00g,222 ,222 ,222 ,
491,큐브스테이크볼,209kcal,13.00g,9.00g,14.00g,209 ,209 ,209 ,
492,김치통스팸삼각김밥,189kcal,3.90g,33.00g,6.00g,189 ,189 ,189 ,
493,매콤참치김밥,318kcal,6.00g,56.00g,10.00g,318 ,318 ,318 ,
494,양념치킨까스버거,539kcal,22.00g,65.00g,20.00g,539 ,539 ,539 ,
495,고기많은도시락,769kcal,21.00g,115.00g,29.00g,769 ,769 ,769 ,
496,로스트비프 에그볼 샐러드,190kcal,10.00g,15.00g,10.00g,190 ,190 ,190 ,
497,큐브 스테이크 볼,209kcal,13.00g,9.00g,14.00g,209 ,209 ,209 ,
498,초코 골드바,305kcal,18.00g,32.00g,3.00g,305 ,305 ,305 ,
499,사천식 돼지고기&계란볶음밥 도시락,822kcal,33.00g,95.00g,36.00g,822 ,822 ,822 ,
500,훈제 닭가슴살 샐러드,125kcal,2.14g,13.62g,12.53g,125 ,125 ,125 ,
501,치킨 찹찹 미니샐러드,153kcal,9.00g,7.00g,11.00g,153 ,153 ,153 ,
502,집밥은 씨유 사골국,31kcal,0.80g,4.70g,1.30g,31 ,31 ,31 ,
503,부드러운 계란 김밥,330kcal,6.00g,57.00g,12.00g,330 ,330 ,330 ,
504,호로록 수제비,519kcal,1.70g,117.00g,9.00g,519 ,519 ,519 ,
505,싱가포르 카야토스트,426kcal,22.00g,49.00g,8.00g,426 ,426 ,426 ,
506,베이컨 참치마요 삼각김밥,201kcal,5.00g,34.00g,5.00g,201 ,201 ,201 ,
507,고기왕듬뿍 도시락,730kcal,26.00g,91.00g,33.00g,730 ,730 ,730 ,
508,계란과자,455kcal,21.00g,61.00g,6.00g,455 ,455 ,455 ,
509,햄참치마요,184kcal,3.50g,33.00g,5.00g,184 ,184 ,184 ,
510,더큰베이컨참치마요,329kcal,11.00g,52.00g,6.00g,329 ,329 ,329 ,
511,가벼운 한끼 도시락,385kcal,10.00g,40.00g,24.00g,385 ,385 ,385 ,
512,화딱지장,242kcal,3.30g,47.00g,6.00g,242 ,242 ,242 ,
513,모짜치즈듬뿍 김밥,366kcal,11.00g,51.00g,16.00g,366 ,366 ,366 ,
514,추억의 샌드위치,351kcal,15.00g,37.00g,18.00g,351 ,351 ,351 ,
515,함박치킨도시락,750kcal,26.00g,103.00g,26.00g,750 ,750 ,750 ,
516,핸디피자 고르곤졸라,230kcal,10.00g,30.00g,5.00g,230 ,230 ,230 ,
517,크래미 유부삼각,244kcal,6.00g,42.00g,6.00g,244 ,244 ,244 ,
518,황금제육 도시락,723kcal,18.00g,106.00g,35.00g,723 ,723 ,723 ,
519,스테이크에그볼 샐러드,159kcal,7.00g,12.00g,12.00g,159 ,159 ,159 ,
520,치킨햄샌드위치,304kcal,6.70g,49.00g,12.00g,304 ,304 ,304 ,
521,쭈쭈바,83kcal,0.50g,20.90g,0.00g,83 ,83 ,83 ,
522,초코찰떡꼬치,482kcal,5.13g,102.00g,7.40g,482 ,482 ,482 ,
523,김치참치,170kcal,2.90g,31.00g,5.00g,170 ,170 ,170 ,
524,반숙대란,120kcal,4.10g,0.00g,6.00g,120 ,120 ,120 ,
525,더 건강한 소시지김밥,415kcal,11.00g,62.00g,17.00g,415 ,415 ,415 ,
526,달콤한 소라형 과자,675kcal,34.00g,81.00g,11.00g,675 ,675 ,675 ,
527,에그베네딕트샌드위치,288kcal,12.00g,32.00g,13.00g,288 ,288 ,288 ,
528,딸기우유찰떡,111kcal,1.70g,23.00g,1.00g,111 ,111 ,111 ,
529,백종원 콘치즈참치 샌드위치,341kcal,13.00g,47.00g,9.00g,341 ,341 ,341 ,
530,리코타치킨 아몬드볼,232kcal,12.00g,15.00g,16.00g,232 ,232 ,232 ,
531,바삭 고구마,111kcal,0.10g,25.80g,1.60g,111 ,111 ,111 ,
532,매콤참치콘마요,189kcal,4.40g,33.00g,5.00g,189 ,189 ,189 ,
533,에그불고기버거,368kcal,20.00g,36.00g,11.00g,368 ,368 ,368 ,
534,불고기치즈피자,230kcal,8.00g,25.00g,13.00g,230 ,230 ,230 ,
535,바닐라 아이스크림맛 팝콘,405kcal,25.00g,46.00g,2.60g,405 ,405 ,405 ,
536,핸디피자 페퍼로니,175kcal,4.80g,27.00g,6.00g,175 ,175 ,175 ,
537,바로먹는 한끼 연어스테이크,145kcal,7.60g,1.20g,18.40g,145 ,145 ,145 ,
538,갈릭통살치킨버거,370kcal,14.00g,47.00g,13.00g,370 ,370 ,370 ,
539,초코소라빵,295kcal,6.00g,57.00g,4.00g,295 ,295 ,295 ,
540,편스토랑 미트파이 오리지널,384kcal,16.00g,39.00g,21.00g,384 ,384 ,384 ,
541,꽃카라멜 뚱카롱,342kcal,20.00g,39.00g,3.00g,342 ,342 ,342 ,
542,에그가먼저닭 미니샐러드,156kcal,12.00g,5.00g,7.00g,156 ,156 ,156 ,
543,모두의급식 마늘제육,763kcal,27.00g,97.00g,33.00g,763 ,763 ,763 ,
544,햄에그모닝머핀,376kcal,16.00g,41.00g,17.00g,376 ,376 ,376 ,
545,반반치킨불고기정식,708kcal,20.00g,108.00g,24.00g,708 ,708 ,708 ,
546,케이준치킨샐러드 샌드위치,325kcal,13.00g,43.00g,9.00g,325 ,325 ,325 ,
547,불곱창 짜글이,370kcal,10.00g,55.00g,15.00g,370 ,370 ,370 ,
548,닭고기 계란 덮밥,563kcal,11.00g,94.00g,22.00g,563 ,563 ,563 ,
549,리얼생초코찰떡,113kcal,2.30g,22.00g,1.00g,113 ,113 ,113 ,
550,치킨치즈그라탕,714kcal,30.00g,86.00g,25.00g,714 ,714 ,714 ,
551,양상추햄치즈샌드위치,399kcal,23.00g,38.00g,10.00g,399 ,399 ,399 ,
552,망고30%바,131kcal,0.00g,32.00g,0.00g,131 ,131 ,131 ,
553,닭대닭 도시락,753kcal,26.00g,85.00g,46.00g,753 ,753 ,753 ,
554,김밥파티,492kcal,13.00g,74.00g,19.00g,492 ,492 ,492 ,
555,칠리크랩버거,374kcal,12.00g,56.00g,11.00g,374 ,374 ,374 ,
556,핸디피자 불고기,275kcal,7.00g,41.00g,12.00g,275 ,275 ,275 ,
557,한끼연어스테이크,152kcal,8.60g,0.80g,18.40g,152 ,152 ,152 ,
558,미트커리 돈까스 주먹밥,209kcal,5.00g,35.00g,5.00g,209 ,209 ,209 ,
559,갈비양념치킨도시락,809kcal,29.00g,107.00g,31.00g,809 ,809 ,809 ,
560,추억의 매점 피자빵,400kcal,27.00g,33.00g,6.00g,400 ,400 ,400 ,
561,충무김밥,369kcal,2.30g,75.00g,12.00g,369 ,369 ,369 ,
562,냉모밀,302kcal,3.80g,59.00g,8.00g,302 ,302 ,302 ,
563,센베이과자,127kcal,0.30g,26.70g,2.40g,127 ,127 ,127 ,
564,전주비빔삼각김밥,179kcal,2.10g,36.00g,4.00g,179 ,179 ,179 ,
565,매콤삼겹덮밥,685kcal,19.00g,107.00g,22.00g,685 ,685 ,685 ,
566,점보 4단 샌드 햄감자&게맛살,383kcal,11.00g,56.00g,15.00g,383 ,383 ,383 ,
567,매콤불고기정식,843kcal,31.00g,112.00g,29.00g,843 ,843 ,843 ,
568,케이준치킨샌드위치,459kcal,15.00g,66.00g,15.00g,459 ,459 ,459 ,
569,불닭김밥,325kcal,9.00g,52.00g,9.00g,325 ,325 ,325 ,
570,시장김밥,400kcal,8.00g,74.00g,9.00g,400 ,400 ,400 ,
571,한상가득,715kcal,25.00g,86.00g,37.00g,715 ,715 ,715 ,
572,더블바베큐버거,444kcal,18.00g,54.00g,16.00g,444 ,444 ,444 ,
573,로제치킨리조또 김밥,305kcal,13.00g,37.00g,11.00g,305 ,305 ,305 ,
574,트리플치즈버거,584kcal,28.00g,54.00g,29.00g,584 ,584 ,584 ,
575,햄에그모닝머핀,411kcal,19.00g,47.00g,13.00g,411 ,411 ,411 ,
576,크림치즈치킨샌드위치,425kcal,25.00g,36.00g,14.00g,425 ,425 ,425 ,
577,프로틴스펙스,195kcal,1.40g,30.00g,15.00g,195 ,195 ,195 ,
578,고구마치킨콥볼,158kcal,6.00g,13.00g,13.00g,158 ,158 ,158 ,
579,Butter Coffee,185kcal,19.00g,1.80g,2.00g,185 ,185 ,185 ,
580,소고기고추장 삼각김밥,178kcal,2.40g,35.00g,4.00g,178 ,178 ,178 ,
581,떡볶이 스낵,385kcal,24.00g,40.00g,2.00g,385 ,385 ,385 ,
582,리치치킨데리마요,351kcal,11.00g,54.00g,9.00g,351 ,351 ,351 ,
583,빽햄 데리마요 밥바,299kcal,11.00g,43.00g,7.00g,299 ,299 ,299 ,
584,단짠단짠 전주비빔 삼각김밥,180kcal,2.70g,34.00g,5.00g,180 ,180 ,180 ,
585,도구리 모닝샌드,290kcal,10.00g,36.00g,14.00g,290 ,290 ,290 ,
586,베이컨 샌드위치,346kcal,14.00g,38.00g,17.00g,346 ,346 ,346 ,
587,리챔김치볶음,213kcal,9.00g,29.00g,4.00g,213 ,213 ,213 ,
588,탕수육&깐풍치킨,863kcal,31.00g,119.00g,27.00g,863 ,863 ,863 ,
589,어니언스프,94kcal,2.80g,16.00g,1.00g,94 ,94 ,94 ,
590,메론 모찌롤,374kcal,22.00g,37.00g,7.00g,374 ,374 ,374 ,
591,무민초코우유,260kcal,5.40g,43.00g,10.00g,260 ,260 ,260 ,
592,눈부신 초코블랑,215kcal,11.00g,27.00g,2.00g,215 ,215 ,215 ,
593,케이준치킨샌드,358kcal,16.00g,40.00g,13.00g,358 ,358 ,358 ,
